#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Afg3l1	Phb	10090.ENSMUSP00000001520	10090.ENSMUSP00000119603	0	0.201	0	0.280	0.400
Afg3l1	Afg3l2	10090.ENSMUSP00000001520	10090.ENSMUSP00000025408	0	0	0.900	0.667	0.965
Afg3l2	Smdt1	10090.ENSMUSP00000025408	10090.ENSMUSP00000023086	0	0	0.500	0	0.499
Afg3l2	Phb	10090.ENSMUSP00000025408	10090.ENSMUSP00000119603	0	0.201	0.500	0.280	0.687
Atp5b	Cox5a	10090.ENSMUSP00000026459	10090.ENSMUSP00000000090	0	0.299	0	0.266	0.463
Atp5b	Sdhb	10090.ENSMUSP00000026459	10090.ENSMUSP00000010007	0	0.312	0	0.225	0.444
Atp5b	Atp5e	10090.ENSMUSP00000026459	10090.ENSMUSP00000016396	0	0.645	0.900	0.536	0.982
Atp5b	Atp5j	10090.ENSMUSP00000026459	10090.ENSMUSP00000023608	0	0.851	0.720	0.466	0.975
Atp5b	Atp5g3	10090.ENSMUSP00000026459	10090.ENSMUSP00000107627	0	0.564	0.540	0.473	0.885
Atp5b	Atp5g1	10090.ENSMUSP00000026459	10090.ENSMUSP00000088029	0	0.560	0.720	0.212	0.894
Atp5b	Atp5j2	10090.ENSMUSP00000026459	10090.ENSMUSP00000125504	0	0.684	0.720	0	0.907
Atp5b	mt-Atp8	10090.ENSMUSP00000026459	10090.ENSMUSP00000080995	0	0.532	0.900	0	0.951
Atp5b	Atp5mpl	10090.ENSMUSP00000026459	10090.ENSMUSP00000152618	0	0.561	0.900	0	0.954
Atp5b	Atp5md	10090.ENSMUSP00000026459	10090.ENSMUSP00000158561	0	0.643	0.900	0	0.962
Atp5b	mt-Atp6	10090.ENSMUSP00000026459	10090.ENSMUSP00000080996	0	0.561	0.900	0.446	0.973
Atp5b	Atp5k	10090.ENSMUSP00000026459	10090.ENSMUSP00000051222	0	0.684	0.900	0.323	0.976
Atp5e	Atp5g3	10090.ENSMUSP00000016396	10090.ENSMUSP00000107627	0	0.621	0.540	0.194	0.847
Atp5e	Atp5j2	10090.ENSMUSP00000016396	10090.ENSMUSP00000125504	0	0.676	0.720	0	0.905
Atp5e	Atp5g1	10090.ENSMUSP00000016396	10090.ENSMUSP00000088029	0	0.808	0.720	0	0.943
Atp5e	mt-Atp8	10090.ENSMUSP00000016396	10090.ENSMUSP00000080995	0	0.499	0.900	0	0.947
Atp5e	Atp5j	10090.ENSMUSP00000016396	10090.ENSMUSP00000023608	0	0.818	0.720	0	0.947
Atp5e	Atp5mpl	10090.ENSMUSP00000016396	10090.ENSMUSP00000152618	0	0.561	0.900	0	0.954
Atp5e	Atp5md	10090.ENSMUSP00000016396	10090.ENSMUSP00000158561	0	0.698	0.900	0	0.968
Atp5e	Atp5k	10090.ENSMUSP00000016396	10090.ENSMUSP00000051222	0	0.715	0.900	0	0.970
Atp5e	mt-Atp6	10090.ENSMUSP00000016396	10090.ENSMUSP00000080996	0	0.808	0.900	0.136	0.981
Atp5g1	Atp5j	10090.ENSMUSP00000088029	10090.ENSMUSP00000023608	0	0.653	0.800	0	0.927
Atp5g1	Atp5k	10090.ENSMUSP00000088029	10090.ENSMUSP00000051222	0	0.808	0.800	0	0.959
Atp5g1	mt-Atp8	10090.ENSMUSP00000088029	10090.ENSMUSP00000080995	0	0.708	0.800	0	0.939
Atp5g1	mt-Atp6	10090.ENSMUSP00000088029	10090.ENSMUSP00000080996	0	0.808	0.800	0.361	0.973
Atp5g1	Atp5md	10090.ENSMUSP00000088029	10090.ENSMUSP00000158561	0	0.560	0.720	0	0.871
Atp5g1	Atp5j2	10090.ENSMUSP00000088029	10090.ENSMUSP00000125504	0	0.712	0.800	0	0.939
Atp5g1	Atp5mpl	10090.ENSMUSP00000088029	10090.ENSMUSP00000152618	0	0.808	0.720	0	0.943
