#node	identifier	category	term ID	term description
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0006508	Proteolysis
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0006807	Nitrogen compound metabolic process
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0006996	Organelle organization
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0007005	Mitochondrion organization
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0007006	Mitochondrial membrane organization
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0007007	Inner mitochondrial membrane organization
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0008053	Mitochondrial fusion
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0008152	Metabolic process
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0009987	Cellular process
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0010467	Gene expression
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0016043	Cellular component organization
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0016485	Protein processing
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0019538	Protein metabolic process
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0022607	Cellular component assembly
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0034982	Mitochondrial protein processing
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0042407	Cristae formation
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0043170	Macromolecule metabolic process
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0043933	Protein-containing complex organization
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0044085	Cellular component biogenesis
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0044238	Primary metabolic process
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0048284	Organelle fusion
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0051604	Protein maturation
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0061024	Membrane organization
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0065003	Protein-containing complex assembly
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0071704	Organic substance metabolic process
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:0071840	Cellular component organization or biogenesis
Afg3l1	10090.ENSMUSP00000001520	GO Process	GO:1901564	Organonitrogen compound metabolic process
Afg3l1	10090.ENSMUSP00000001520	GO Function	GO:0000166	Nucleotide binding
Afg3l1	10090.ENSMUSP00000001520	GO Function	GO:0003824	Catalytic activity
Afg3l1	10090.ENSMUSP00000001520	GO Function	GO:0004175	Endopeptidase activity
Afg3l1	10090.ENSMUSP00000001520	GO Function	GO:0004176	ATP-dependent peptidase activity
Afg3l1	10090.ENSMUSP00000001520	GO Function	GO:0004222	Metalloendopeptidase activity
Afg3l1	10090.ENSMUSP00000001520	GO Function	GO:0005488	Binding
Afg3l1	10090.ENSMUSP00000001520	GO Function	GO:0005524	ATP binding
Afg3l1	10090.ENSMUSP00000001520	GO Function	GO:0008233	Peptidase activity
Afg3l1	10090.ENSMUSP00000001520	GO Function	GO:0008237	Metallopeptidase activity
Afg3l1	10090.ENSMUSP00000001520	GO Function	GO:0008270	Zinc ion binding
Afg3l1	10090.ENSMUSP00000001520	GO Function	GO:0016462	Pyrophosphatase activity
Afg3l1	10090.ENSMUSP00000001520	GO Function	GO:0016787	Hydrolase activity
Afg3l1	10090.ENSMUSP00000001520	GO Function	GO:0016817	Hydrolase activity, acting on acid anhydrides
Afg3l1	10090.ENSMUSP00000001520	GO Function	GO:0016818	Hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
Afg3l1	10090.ENSMUSP00000001520	GO Function	GO:0016887	ATP hydrolysis activity
